id,priority,channel,flow,mode,payment_method,case,expected_result,status,evidence_link,owner,notes
QA-001,P0,Invoice,Checkout redirect,collects,bank_transfer,Pay success via webhook,Transaction moves to done after payment_intent.succeeded,TODO,,, 
QA-002,P0,Invoice,Checkout redirect,collects,card,Pay success via webhook,Transaction moves to done after payment_intent.succeeded,TODO,,, 
QA-003,P0,eCommerce,Checkout redirect,collects,bank_transfer,Pay success via webhook,Order payment done after webhook,TODO,,, 
QA-004,P0,eCommerce,Checkout redirect,collects,card,Pay success via webhook,Order payment done after webhook,TODO,,, 
QA-005,P0,Portal,Checkout redirect,collects,bank_transfer,Pay success via webhook,Portal payment moves to done,TODO,,, 
QA-006,P0,Portal,Checkout redirect,collects,card,Pay success via webhook,Portal payment moves to done,TODO,,, 
QA-007,P0,Invoice,Checkout redirect,direct,bank_transfer,Direct mode recipient account,Session created with payment_method_options recipient_account,TODO,,, 
QA-008,P0,Invoice,Fallback behavior,collects,bank_transfer,payment_intent fallback to payment_initiation,Checkout still created when payment_intent rejected,TODO,,, 
QA-009,P0,Invoice,Security webhook,collects,bank_transfer,Invalid signature,Webhook rejected (no state change),TODO,,, 
QA-010,P0,Invoice,Security webhook,collects,bank_transfer,Expired timestamp,Webhook rejected (no state change),TODO,,, 
QA-011,P0,Invoice,Idempotency webhook,collects,bank_transfer,Duplicate event id,Second event ignored,TODO,,, 
QA-012,P0,Invoice,Return URL handling,collects,bank_transfer,Customer returns success URL,Transaction remains pending until webhook final state,TODO,,, 
QA-013,P0,Invoice,Return URL handling,collects,bank_transfer,Customer returns cancel URL,Transaction remains pending/cancel depending webhook final state,TODO,,, 
QA-014,P0,Invoice,Refund full,collects,bank_transfer,Create full refund,Refund transaction created and tracked by refund webhook,TODO,,, 
QA-015,P0,Invoice,Refund partial,collects,bank_transfer,Create partial refund,Partial amount accepted and tracked,TODO,,, 
QA-016,P0,Invoice,Refund cancel,collects,bank_transfer,Cancel pending refund,Refund cancellation sent and tx canceled/pending by webhook result,TODO,,, 
QA-017,P1,Invoice,UX validation,collects,bank_transfer,Missing secret key warning,Clear warning shown in provider UI,TODO,,, 
QA-018,P1,Invoice,UX validation,collects,bank_transfer,Missing webhook secret warning,Clear warning shown in provider UI,TODO,,, 
QA-019,P1,Invoice,UX validation,collects,bank_transfer,HTTP webhook url warning,Security warning shown in provider UI,TODO,,, 
QA-020,P1,Invoice,UX validation,collects,bank_transfer,Missing customer email,Clear error before checkout when refunds capability required,TODO,,, 
